   j      e(j)         levid         stwt


  1.7717E-19 1.4446E-19 1.1886E-19 9.8710E-20 8.2740E-20 6.9911E-20 5.9520E-20
 10000501.0510 -4.9434E-02  4.0809E-16  3.6393E-16  3.2459E-16  2.8957E-16
  2.5839E-16 2.3064E-16 2.0595E-16 1.8399E-16 1.6448E-16 1.4716E-16 1.3180E-16
  1.1820E-16 1.0617E-16 9.5575E-17 8.6268E-17 7.8136E-17 7.1079E-17 6.5017E-17
  5.9881E-17 5.5617E-17 5.2186E-17 4.9557E-17 4.7711E-17 4.6637E-17 4.6335E-17
  4.6814E-17 4.8088E-17 5.0153E-17 5.2942E-17 5.6383E-17 6.0944E-17 6.9293E-17
  8.8591E-17 1.3013E-16 2.0317E-16 3.0595E-16 4.2210E-16 5.2691E-16 5.9878E-16
  6.2730E-16 6.1426E-16 5.6615E-16 5.0110E-16 4.2831E-16 3.5317E-16 2.8684E-16
  2.2705E-16 1.7728E-16 1.3791E-16 1.0556E-16 8.0950E-17 6.1221E-17 4.6593E-17
  3.5431E-17 2.3501E-17 1.7523E-17 1.3051E-17 9.4419E-18 6.9892E-18 5.1713E-18
  3.8260E-18 2.8332E-18 2.1000E-18 1.5585E-18 1.1598E-18 8.6552E-19 6.4823E-19
  4.8769E-19 3.6891E-19 2.8081E-19 2.1531E-19 1.6642E-19 1.2978E-19 1.0219E-19
  8.1259E-20 6.5320E-20 5.3045E-20 4.3521E-20 3.6080E-20 3.0191E-20 2.5482E-20
 10000501.0610 -3.3060E-02  1.9062E-16  1.6995E-16  1.5153E-16  1.3513E-16
  1.2052E-16 1.0751E-16 9.5924E-17 8.5618E-17 7.6454E-17 6.8310E-17 6.1080E-17
  5.4672E-17 4.9003E-17 4.4004E-17 3.9614E-17 3.5781E-17 3.2466E-17 2.9634E-17
  2.7259E-17 2.5322E-17 2.3811E-17 2.2717E-17 2.2034E-17 2.1761E-17 2.1896E-17
  2.2443E-17 2.3404E-17 2.4769E-17 2.6495E-17 2.8546E-17 3.1261E-17 3.6571E-17
  4.9759E-17 7.9317E-17 1.3252E-16 2.0874E-16 2.9642E-16 3.7715E-16 4.3404E-16
  4.5831E-16 4.5054E-16 4.1617E-16 3.6765E-16 3.1284E-16 2.5688E-16 2.0697E-16
  1.6270E-16 1.2601E-16 9.6967E-17 7.3529E-17 5.5715E-17 4.1718E-17 3.1350E-17
  2.3530E-17 1.5907E-17 1.1741E-17 8.6557E-18 6.2393E-18 4.5768E-18 3.3555E-18
  2.4610E-18 1.8061E-18 1.3267E-18 9.7590E-19 7.1959E-19 5.3199E-19 3.9459E-19
  2.9396E-19 2.2010E-19 1.6577E-19 1.2573E-19 9.6105E-20 7.4101E-20 5.7687E-20
  4.5367E-20 3.6068E-20 2.8986E-20 2.3551E-20 1.9346E-20 1.6056E-20 1.3452E-20
 10000501.0710 -2.3655E-02  1.1595E-16  1.0333E-16  9.2082E-17  8.2056E-17
  7.3120E-17 6.5155E-17 5.8058E-17 5.1734E-17 4.6102E-17 4.1088E-17 3.6628E-17
  3.2666E-17 2.9152E-17 2.6046E-17 2.3311E-17 2.0919E-17 1.8847E-17 1.7076E-17
  1.5593E-17 1.4389E-17 1.3457E-17 1.2793E-17 1.2394E-17 1.2257E-17 1.2379E-17
  1.2758E-17 1.3391E-17 1.4267E-17 1.5356E-17 1.6632E-17 1.8309E-17 2.1699E-17
  3.0679E-17 5.2183E-17 9.3329E-17 1.5562E-16 2.3093E-16 3.0369E-16 3.5808E-16
  3.8465E-16 3.8249E-16 3.5617E-16 3.1576E-16 2.6877E-16 2.2062E-16 1.7706E-16
  1.3867E-16 1.0686E-16 8.1602E-17 6.1460E-17 4.6137E-17 3.4275E-17 2.5487E-17
  1.8914E-17 1.3009E-17 9.5187E-18 6.9558E-18 4.9989E-18 3.6372E-18 2.6448E-18
  1.9238E-18 1.3999E-18 1.0194E-18 7.4327E-19 5.4300E-19 3.9758E-19 2.9193E-19
  2.1517E-19 1.5930E-19 1.1856E-19 8.8790E-20 6.6979E-20 5.0935E-20 3.9093E-20
  3.0304E-20 2.3746E-20 1.8815E-20 1.5080E-20 1.2227E-20 1.0026E-20 8.3086E-21
 10000501.0810 -1.7761E-02  8.1899E-17  7.2952E-17  6.4973E-17  5.7856E-17
  5.1507E-17 4.5843E-17 4.0789E-17 3.6280E-17 3.2257E-17 2.8668E-17 2.5469E-17
  2.2621E-17 2.0088E-17 1.7843E-17 1.5861E-17 1.4123E-17 1.2613E-17 1.1321E-17
  1.0236E-17 9.3531E-18 8.6675E-18 8.1755E-18 7.8734E-18 7.7572E-18 7.8226E-18
  8.0653E-18 8.4802E-18 9.0569E-18 9.7731E-18 1.0616E-17 1.1793E-17 1.4535E-17
  2.2604E-17 4.2991E-17 8.3264E-17 1.4558E-16 2.2215E-16 2.9711E-16 3.5389E-16
  3.8231E-16 3.8108E-16 3.5504E-16 3.1415E-16 2.6644E-16 2.1779E-16 1.7372E-16
  1.3520E-16 1.0345E-16 7.8325E-17 5.8500E-17 4.3493E-17 3.2015E-17 2.3561E-17
  1.7299E-17 1.1904E-17 8.6247E-18 6.2403E-18 4.4494E-18 3.2064E-18 2.3099E-18
  1.6642E-18 1.1996E-18 8.6562E-19 6.2548E-19 4.5279E-19 3.2866E-19 2.3932E-19
  1.7494E-19 1.2849E-19 9.4905E-20 7.0568E-20 5.2878E-20 3.9972E-20 3.0514E-20
  2.3543E-20 1.8375E-20 1.4514E-20 1.1608E-20 9.3962E-21 7.6969E-21 6.3768E-21
 10000501.0910 -1.3826E-02  6.2903E-17  5.6006E-17  4.9852E-17  4.4359E-17
  3.9455E-17 3.5076E-17 3.1165E-17 2.7671E-17 2.4548E-17 2.1759E-17 1.9268E-17
  1.7045E-17 1.5065E-17 1.3307E-17 1.1751E-17 1.0384E-17 9.1949E-18 8.1746E-18
  7.3165E-18 6.6156E-18 6.0679E-18 5.6693E-18 5.4158E-18 5.3028E-18 5.3251E-18
  5.4776E-18 5.7544E-18 6.1463E-18 6.6368E-18 7.2306E-18 8.2145E-18 1.1169E-17
  2.0800E-17 4.5544E-17 9.3948E-17 1.6755E-16 2.5628E-16 3.4142E-16 4.0433E-16
  4.3417E-16 4.3029E-16 3.9914E-16 3.5151E-16 2.9679E-16 2.4191E-16 1.9218E-16
  1.4921E-16 1.1389E-16 8.5894E-17 6.3996E-17 4.7370E-17 3.4772E-17 2.5454E-17
  1.8574E-17 1.3089E-17 9.4570E-18 6.8211E-18 4.8797E-18 3.5072E-18 2.5188E-18
  1.8085E-18 1.2984E-18 9.3241E-19 6.6994E-19 4.8180E-19 3.4690E-19 2.5017E-19
  1.8080E-19 1.3101E-19 9.5238E-20 6.9512E-20 5.0979E-20 3.7598E-20 2.7917E-20
  2.0890E-20 1.5770E-20 1.2023E-20 9.2651E-21 7.2229E-21 5.6999E-21 4.5538E-21
